      NX,     NY,  FirstLon,  FirstLat,    DLon,    DLat, Bathy(NX, NY) m
     512     359    0.35156  -78.04688 0.703125 0.468750
  2532.27  2565.56  2601.52  2625.08  2645.64  2686.33  2723.09  2757.62  2784.00  2813.97
  2848.75  2885.36  2920.14  2951.86  2984.41  3019.18  3046.39  3073.80  3102.10  3126.37
  3155.11  3178.52  3199.32  3220.36  3247.00  3262.40  3275.64  3294.82  3311.23  3339.19
  3351.31  3368.84  3391.72  3406.25  3420.50  3443.94  3459.07  3474.12  3487.35  3513.36
  3531.21  3537.46  3551.30  3571.53  3590.53  3597.24  3602.06  3617.36  3630.68  3643.78
  3660.30  3674.40  3684.32  3697.58  3709.74  3717.28  3724.89  3729.09  3730.27  3726.79
  3715.86  3697.69  3682.81  3670.72  3654.15  3631.37  3616.47  3600.69  3584.04  3570.80
  3552.97  3530.05  3512.58  3500.30  3482.28  3460.19  3436.97  3417.67  3389.74  3368.54
  3346.16  3317.15  3286.84  3265.78  3243.70  3229.70  3215.53  3209.34  3213.37  3221.80
  3234.30  3231.73  3228.96  3231.91  3236.07  3230.79  3228.05  3229.64  3229.70  3229.22
  3229.74  3215.47  3193.01  3170.25  3156.10  3151.80  3155.11  3173.59  3185.27  3210.15
  3217.37  3223.64  3254.72  3297.52  3330.02  3360.03  3391.36  3415.43  3449.92  3488.31
  3525.98  3562.06  3593.13  3623.53  3642.64  3655.08  3651.50  3678.49  3702.32  3718.68
  3729.42  3746.02  3764.44  3780.71  3789.40  3783.13  3770.11  3754.17  3739.34  3721.39
  3709.31  3689.67  3667.68  3639.30  3617.37  3596.17  3575.22  3554.07  3530.97  3513.76
  3514.11  3515.13  3509.12  3476.79  3457.81  3440.18  3424.08  3402.98  3384.57  3361.48
  3342.02  3319.87  3298.82  3279.69  3261.86  3248.05  3233.43  3213.65  3196.78  3183.78
  3158.98  3144.14  3124.82  3116.89  3105.45  3086.35  3073.70  3062.14  3053.03  3043.03
  3028.09  2996.82  2969.74  2939.32  2906.47  2873.13  2842.70  2805.32  2776.45  2741.50
  2709.28  2683.51  2657.73  2638.65  2620.92  2602.77  2587.13  2574.32  2558.58  2537.82
